Id,ActiveDays,ActivityLevel,MeanSteps,FitnessLevel,TotalSteps,TotalCalories,TotalActiveMinutes
1503960366,31,Active,12116.741935483871,Pro,375619,56309,11349
1624580081,31,Active,5743.903225806452,Beginner,178061,45984,5883
1644430081,30,Active,7282.966666666666,Beginner,218489,84339,7084
1844505072,31,Active,2580.064516129032,Beginner,79982,48778,3332
1927972279,31,Active,916.1290322580645,Beginner,28400,67357,1312
2022484408,31,Active,11370.645161290322,Intermediate,352490,77809,12283
2026352035,31,Active,5566.870967741936,Beginner,172573,47760,8039
2320127002,31,Active,4716.870967741936,Beginner,146223,53449,6208
2347167796,18,Moderate,9519.666666666666,Intermediate,171354,36782,5582
2873212765,31,Active,7555.774193548387,Beginner,234229,59426,10819
3372868164,20,Moderate,6861.65,Beginner,137233,38662,6979
3977333714,30,Active,10984.566666666668,Intermediate,329537,45410,11167
4020332650,31,Active,2267.2258064516127,Beginner,70284,73960,2975
4057192912,4,Light,3838.0,Beginner,15352,7895,267
4319703577,31,Active,7268.8387096774195,Beginner,225334,63168,8189
4388161847,31,Active,10813.935483870968,Intermediate,335232,95910,10584
4445114986,31,Active,4796.548387096775,Beginner,148693,67772,7209
4558609924,31,Active,7685.129032258064,Beginner,238239,63031,10473
4702921684,31,Active,8572.064516129032,Intermediate,265734,91932,9453
5553957443,31,Active,8612.58064516129,Intermediate,266990,58146,9016
5577150313,30,Active,8304.433333333332,Intermediate,249133,100789,13656
6117666160,28,Active,7046.714285714285,Beginner,197308,63312,8277
6290855005,29,Active,5649.551724137931,Beginner,163837,75389,6850
6775888955,26,Active,2519.6923076923076,Beginner,65512,55426,2668
6962181067,31,Active,9794.806451612903,Intermediate,303639,61443,10688
7007744171,26,Active,11323.423076923076,Intermediate,294409,66144,10036
7086361926,31,Active,9371.774193548386,Intermediate,290525,79557,9964
8053475328,31,Active,14763.290322580646,Pro,457662,91320,13002
8253242879,19,Moderate,6482.1578947368425,Beginner,123161,33972,3647
8378563200,31,Active,8717.709677419354,Intermediate,270249,106534,10782
8583815059,31,Active,7198.5161290322585,Beginner,223154,84693,6346
8792009665,29,Active,1853.7241379310344,Beginner,53758,56907,2864
8877689391,31,Active,16040.032258064517,Pro,497241,106028,13891
